name,location,link,tags,description
Bee Haven,"Chicago, IL",beehavennfp.org,"Native Pollinators, Bees, Butterflies, Habitat Restoration, Native Plants","Bee Haven is a Greater Chicago nonprofit that creates, preserves, and restores native habitat for bees, butterflies, bats, and birds. Its projects include residential pollinator sanctuaries and habitat-restoration work in Chicago-area communities."
West Cook Wild Ones,"Chicago, IL",https://westcook.wildones.org/,"Native Plants, Pollinator Gardens, Butterflies, Habitat, Community Education","West Cook Wild Ones is a local nonprofit chapter that promotes native landscaping and wildlife habitat. It runs pollinator events, garden tours, plant sales, educational programs, and grants for local nature projects."
Chicago Honey Co-op,"Chicago, IL",chicagohoneycoop.com,"Urban Beekeeping, Honey Bees, Sustainable Agriculture, Education, Community Gardens","Chicago Honey Co-op is a small urban-beekeeping cooperative that maintains hives around Chicago, provides beekeeping education, and supports sustainable agriculture. Its website’s contact page appears unfinished, so calling the listed phone number may be more reliable."
Cook-DuPage Beekeepers Association,"Chicago, IL",cookdupagebeekeepers.com,"Beekeeping, Honey Bees, Hive Health, Education, Mentorship","Cook-DuPage Beekeepers Association is a regional club that provides training, mentoring, meetings, swarm-removal services, and practical support for local beekeepers. It is one of the strongest options for teams that need direct access to people who manage working hives."
Field Museum Urban Pollinator Conservation,"Chicago, IL",fieldmuseum.org/project-narrative/science/urban-pollinator-conservation,"Native Bees, Monarchs, Community Science, Research, Biodiversity","The Field Museum runs community-science projects in which Chicago residents, gardeners, and students help researchers collect information about monarch butterflies and other urban pollinators. It also provides Chicago-region native-plant and pollinator resources."
Chicago Botanic Garden — PLUG Program,"Chicago, IL",chicagobotanic.org/science/pollinators-living-urban-gardens-program,"Pollinator Research, Native Bees, Urban Gardens, Education, Plant Science",The Pollinators Living in Urban Gardens program studies which garden plants best support pollinators and develops science-based advice for urban gardeners. The Garden also offers school and teacher programs focused on pollinator gardens.
Illinois Monarch Project,"Chicago, IL",illinoismonarchproject.org,"Monarch Butterflies, Milkweed, Habitat, Community Science, Conservation","The Illinois Monarch Project coordinates organizations, agencies, and individuals working to protect monarch butterflies and establish new milkweed and pollinator habitat throughout Illinois."
Project Wingspan: Chicagoland,"Chicago, IL",pollinator.org/project-wingspan/chicagoland,"Native Pollinators, Seed Collection, Habitat Restoration, Community Science","Project Wingspan’s Chicagoland initiative works with volunteers and community partners to collect native seeds and improve habitat for monarchs, native bees, and other pollinators."
HoneyLove,"Los Angeles, CA",HoneyLove.org,"Urban Beekeeping, Honey Bees, Education, Conservation, Pesticide Reduction","HoneyLove is a Los Angeles nonprofit dedicated to protecting honey bees and teaching people about urban beekeeping. Its work includes beekeeper education, community outreach, conservation, and advocacy for reducing pesticide use."
Los Angeles County Beekeepers Association,"Los Angeles, CA",LosAngelesCountyBeekeepers.com,"Honey Bees, Beekeeping, Hive Health, Education, Mentorship, Research","The Los Angeles County Beekeepers Association is a nonprofit that supports beekeepers, promotes honey-bee health, and funds bee education and research. Its members may help teams understand practical problems involving hive management, pests, swarming, heat, and colony health."
Beekeepers Association of Southern California,"Los Angeles, CA",BeekeepersAssociationOfSouthernCalifornia.org,"Beekeeping, Honey Bees, Pollinator Advocacy, Education, Community Network","This regional association brings together beekeepers, bee enthusiasts, and pollinator advocates for monthly meetings and discussions about beekeeping practices and challenges affecting pollinators."
Theodore Payne Foundation,"Los Angeles, CA",TheodorePayne.org,"Native Plants, Pollinator Habitat, Education, Restoration, School Gardens","The Theodore Payne Foundation is a Los Angeles nonprofit focused on preserving and promoting California native plants. Because native plants provide food and habitat for local bees, butterflies, moths, and hummingbirds, the foundation is a strong partner for pollinator-garden and habitat-monitoring projects. It accepts requests for education and outreach programs."
L.A. Zoo Project Pollinator,"Los Angeles, CA",lazoo.org/projectpollinator/,"Native Pollinators, Bees, Butterflies, Birds, Habitat Restoration, Conservation Education","Project Pollinator is an L.A. Zoo initiative that creates native pollinator habitats at the zoo and around Los Angeles. It includes educational programming, demonstration gardens, biodiversity projects, and partnerships with city departments and local nonprofits."
California Native Plant Society — Los Angeles/Santa Monica Mountains Chapter,"Los Angeles, CA",LASMMCNPS.org,"Native Plants, Pollinator Habitat, Biodiversity, Conservation, Community Education","This local chapter of the California Native Plant Society protects native plants and ecosystems throughout the Los Angeles region. Its programs connect native landscaping, biodiversity, habitat restoration, and community education, all of which support native pollinators."
Amigos de los Rios,"Los Angeles, CA",AmigosDeLosRios.org,"Pollinator Gardens, School Greening, Environmental Justice, Native Plants, Habitat Restoration","Amigos de los Rios is a regional nonprofit that creates parks, green schoolyards, native gardens, and connected habitat corridors. Its school projects have included pollinator gardens, rain gardens, outdoor classrooms, and native plants that support bees, butterflies, and hummingbirds."
Los Angeles Neighborhood Land Trust,"Los Angeles, CA",LANLT.org,"Community Gardens, Urban Agriculture, Pollinators, Environmental Education, Neighborhood Improvement","The Los Angeles Neighborhood Land Trust develops and supports community gardens, parks, and green spaces in underserved Los Angeles neighborhoods. Some of its garden projects include beekeeping and rescued urban hives, making it a possible partner for community-based pollinator work."
The Best Bees Company — Los Angeles,"Los Angeles, CA",BestBees.com/Los-Angeles,"Hive Technology, Bee Data, Urban Beekeeping, Sensors, Pollinator Research","Best Bees operates managed urban beehives in Los Angeles and collects hive data for pollinator-health research. Although it is a business rather than a nonprofit, its combination of beekeeping, sensors, data analysis, and research makes it especially relevant to robotics teams."
