Organization,Location,ZIP Code,Website,Tags,Description,Cooperative Extension?,URL Audit Status,URL Audit Notes
UGA Cooperative Extension — Wilcox County,"Abbeville, GA",31001,extension.uga.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","UGA Cooperative Extension — Wilcox County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Wilcox County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
LSU AgCenter Cooperative Extension — Vermilion Parish,"Abbeville, LA",70510,lsuagcenter.com,"Cooperative Extension, Environmental Education, Gardening & Agriculture","LSU AgCenter Cooperative Extension — Vermilion Parish provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Vermilion Parish.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Clemson Cooperative Extension — Abbeville County,"Abbeville, SC",29620,clemson.edu/extension,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Clemson Cooperative Extension — Abbeville County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Abbeville County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
SDSU Extension — Brown County,"Aberdeen, SD",57401,extension.sdstate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","SDSU Extension — Brown County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Brown County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
WSU Extension — Grays Harbor County,"Aberdeen, WA",98520,extension.wsu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","WSU Extension — Grays Harbor County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Grays Harbor County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
K-State Research and Extension — Dickinson County,"Abilene, KS",67410,ksre.k-state.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","K-State Research and Extension — Dickinson County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Dickinson County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Texas A&M AgriLife Extension — Taylor County,"Abilene, TX",79699,agrilifeextension.tamu.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Texas A&M AgriLife Extension — Taylor County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Taylor County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Virginia Cooperative Extension — Washington County,"Abingdon, VA",24210,ext.vt.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Virginia Cooperative Extension — Washington County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Washington County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
Mississippi State University Extension — Choctaw County,"Ackerman, MS",39735,extension.msstate.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","Mississippi State University Extension — Choctaw County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Choctaw County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
University of Minnesota Extension — Norman County,"Ada, MN",56510,extension.umn.edu,"Cooperative Extension, Environmental Education, Gardening & Agriculture","University of Minnesota Extension — Norman County provides research-based local education and resources on gardening, insects, native plants, agriculture, and community programs. It is included as a baseline pollinator-relevant outreach contact for Norman County.",TRUE,Checked,URL reviewed for reachability/redirect behavior and organization match; no change required.
